"Label (Grouping)","Bronx County, New York!!Total!!Estimate","Bronx County, New York!!Percent!!Estimate","Bronx County, New York!!Male!!Estimate","Bronx County, New York!!Percent Male!!Estimate","Bronx County, New York!!Female!!Estimate","Bronx County, New York!!Percent Female!!Estimate","Kings County, New York!!Total!!Estimate","Kings County, New York!!Percent!!Estimate","Kings County, New York!!Male!!Estimate","Kings County, New York!!Percent Male!!Estimate","Kings County, New York!!Female!!Estimate","Kings County, New York!!Percent Female!!Estimate","New York County, New York!!Total!!Estimate","New York County, New York!!Percent!!Estimate","New York County, New York!!Male!!Estimate","New York County, New York!!Percent Male!!Estimate","New York County, New York!!Female!!Estimate","New York County, New York!!Percent Female!!Estimate","Queens County, New York!!Total!!Estimate","Queens County, New York!!Percent!!Estimate","Queens County, New York!!Male!!Estimate","Queens County, New York!!Percent Male!!Estimate","Queens County, New York!!Female!!Estimate","Queens County, New York!!Percent Female!!Estimate","Richmond County, New York!!Total!!Estimate","Richmond County, New York!!Percent!!Estimate","Richmond County, New York!!Male!!Estimate","Richmond County, New York!!Percent Male!!Estimate","Richmond County, New York!!Female!!Estimate","Richmond County, New York!!Percent Female!!Estimate"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 18 to 24 years","137,331","(X)","69,321","(X)","68,010","(X)","202,230","(X)","98,076","(X)","104,154","(X)","145,284","(X)","64,522","(X)","80,762","(X)","168,832","(X)","84,145","(X)","84,687","(X)","38,961","(X)","19,836","(X)","19,125","(X)"
"        Less than high school graduate","26,615","19.4%","15,189","21.9%","11,426","16.8%","22,431","11.1%","13,285","13.5%","9,146","8.8%","10,300","7.1%","6,426","10.0%","3,874","4.8%","17,430","10.3%","9,474","11.3%","7,956","9.4%","3,962","10.2%","2,203","11.1%","1,759","9.2%"
"        High school graduate (includes equivalency)","37,461","27.3%","21,847","31.5%","15,614","23.0%","60,817","30.1%","31,512","32.1%","29,305","28.1%","29,156","20.1%","14,457","22.4%","14,699","18.2%","44,184","26.2%","25,189","29.9%","18,995","22.4%","10,327","26.5%","6,791","34.2%","3,536","18.5%"
"        Some college or associate's degree","58,423","42.5%","27,409","39.5%","31,014","45.6%","77,321","38.2%","36,367","37.1%","40,954","39.3%","56,233","38.7%","23,211","36.0%","33,022","40.9%","76,475","45.3%","37,448","44.5%","39,027","46.1%","16,253","41.7%","7,561","38.1%","8,692","45.4%"
"        Bachelor's degree or higher","14,832","10.8%","4,876","7.0%","9,956","14.6%","41,661","20.6%","16,912","17.2%","24,749","23.8%","49,595","34.1%","20,428","31.7%","29,167","36.1%","30,743","18.2%","12,034","14.3%","18,709","22.1%","8,419","21.6%","3,281","16.5%","5,138","26.9%"
"    Population 25 years and over","932,813","(X)","422,296","(X)","510,517","(X)","1,777,543","(X)","817,702","(X)","959,841","(X)","1,251,551","(X)","589,675","(X)","661,876","(X)","1,633,699","(X)","778,279","(X)","855,420","(X)","333,496","(X)","158,296","(X)","175,200","(X)"
"        Less than 9th grade","106,963","11.5%","44,778","10.6%","62,185","12.2%","150,441","8.5%","63,938","7.8%","86,503","9.0%","80,009","6.4%","33,665","5.7%","46,344","7.0%","165,138","10.1%","75,450","9.7%","89,688","10.5%","16,264","4.9%","6,674","4.2%","9,590","5.5%"
"        9th to 12th grade, no diploma","131,428","14.1%","59,699","14.1%","71,729","14.1%","138,229","7.8%","66,005","8.1%","72,224","7.5%","73,291","5.9%","34,005","5.8%","39,286","5.9%","112,726","6.9%","59,284","7.6%","53,442","6.2%","20,405","6.1%","11,711","7.4%","8,694","5.0%"
"        High school graduate (includes equivalency)","271,874","29.1%","139,256","33.0%","132,618","26.0%","472,167","26.6%","221,767","27.1%","250,400","26.1%","158,877","12.7%","81,036","13.7%","77,841","11.8%","446,542","27.3%","221,231","28.4%","225,311","26.3%","97,259","29.2%","46,029","29.1%","51,230","29.2%"
"        Some college, no degree","159,672","17.1%","73,994","17.5%","85,678","16.8%","216,409","12.2%","105,168","12.9%","111,241","11.6%","120,657","9.6%","54,156","9.2%","66,501","10.0%","236,598","14.5%","115,844","14.9%","120,754","14.1%","54,445","16.3%","29,539","18.7%","24,906","14.2%"
"        Associate's degree","72,701","7.8%","27,066","6.4%","45,635","8.9%","103,381","5.8%","43,784","5.4%","59,597","6.2%","43,093","3.4%","17,782","3.0%","25,311","3.8%","130,799","8.0%","57,722","7.4%","73,077","8.5%","24,334","7.3%","10,527","6.7%","13,807","7.9%"
"        Bachelor's degree","118,282","12.7%","51,206","12.1%","67,076","13.1%","419,822","23.6%","197,189","24.1%","222,633","23.2%","403,257","32.2%","198,502","33.7%","204,755","30.9%","334,272","20.5%","159,039","20.4%","175,233","20.5%","71,914","21.6%","35,362","22.3%","36,552","20.9%"
"        Graduate or professional degree","71,893","7.7%","26,297","6.2%","45,596","8.9%","277,094","15.6%","119,851","14.7%","157,243","16.4%","372,367","29.8%","170,529","28.9%","201,838","30.5%","207,624","12.7%","89,709","11.5%","117,915","13.8%","48,875","14.7%","18,454","11.7%","30,421","17.4%"
"        High school graduate or higher","694,422","74.4%","317,819","75.3%","376,603","73.8%","1,488,873","83.8%","687,759","84.1%","801,114","83.5%","1,098,251","87.8%","522,005","88.5%","576,246","87.1%","1,355,835","83.0%","643,545","82.7%","712,290","83.3%","296,827","89.0%","139,911","88.4%","156,916","89.6%"
"        Bachelor's degree or higher","190,175","20.4%","77,503","18.4%","112,672","22.1%","696,916","39.2%","317,040","38.8%","379,876","39.6%","775,624","62.0%","369,031","62.6%","406,593","61.4%","541,896","33.2%","248,748","32.0%","293,148","34.3%","120,789","36.2%","53,816","34.0%","66,973","38.2%"
"    Population 25 to 34 years","227,113","(X)","110,816","(X)","116,297","(X)","470,688","(X)","228,110","(X)","242,578","(X)","361,731","(X)","175,335","(X)","186,396","(X)","360,026","(X)","180,470","(X)","179,556","(X)","63,991","(X)","32,555","(X)","31,436","(X)"
"        High school graduate or higher","190,103","83.7%","92,603","83.6%","97,500","83.8%","430,403","91.4%","207,583","91.0%","222,820","91.9%","350,235","96.8%","168,962","96.4%","181,273","97.3%","333,862","92.7%","165,434","91.7%","168,428","93.8%","59,774","93.4%","30,344","93.2%","29,430","93.6%"
"        Bachelor's degree or higher","57,826","25.5%","24,499","22.1%","33,327","28.7%","249,828","53.1%","113,745","49.9%","136,083","56.1%","278,488","77.0%","129,683","74.0%","148,805","79.8%","169,244","47.0%","76,276","42.3%","92,968","51.8%","30,304","47.4%","13,085","40.2%","17,219","54.8%"
